player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,total_regular_games,valid_regular_games,missing_games_count,no_observations,lasso_alpha_selected,partialled_lasso_alpha_selected
105971,G. Bazunu,G,Southampton,20,England,Premier League,2022,2927.0,32.0,32,32,0,0,0,0,11.5,11.1,0.498,0.198,0.0383,0.2,0.0,0.315,0.16,0.11,12.1,11.1,0.526,0.196,0.0626,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
18935,A. McCarthy,G,Southampton,20,England,Premier League,2022,543.0,6.0,6,6,0,0,0,0,10.5,11.1,-0.472,0.21,-0.255,0.2,-0.696,0.315,0.0,0.11,11.0,11.1,-0.407,0.209,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
19465,David Raya,G,Brentford,9,England,Premier League,2022,3508.0,38.0,38,38,0,0,0,0,6.26,25.2,-0.0303,0.094,0.0,0.2,0.0,0.315,0.0,0.11,6.42,25.2,-0.0403,0.0934,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
18835,Guaita,G,Crystal Palace,11,England,Premier League,2022,2462.0,27.0,27,27,0,0,0,0,5.7,7.98,0.718,0.18,0.0,0.2,0.0466,0.315,0.0325,0.11,6.0,7.98,0.69,0.179,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
19143,S. Johnstone,G,Crystal Palace,11,England,Premier League,2022,831.0,9.0,9,9,0,0,0,0,5.63,7.98,0.528,0.242,0.0,0.2,0.0,0.315,0.0,0.11,5.93,7.98,0.512,0.241,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
1590,José Sá,G,Wolves,13,England,Premier League,2022,3250.0,36.0,36,36,0,0,0,0,4.49,7.56,0.515,0.277,0.0,0.2,0.0701,0.315,0.0168,0.11,4.83,7.56,0.489,0.275,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
284549,J. Whitworth,G,Crystal Palace,11,England,Premier League,2022,179.0,2.0,2,2,0,0,0,0,4.38,7.97,-0.375,0.278,-0.416,0.2,-0.653,0.315,0.0,0.11,4.68,7.97,-0.307,0.276,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
731,K. Navas,G,Nottingham Forest,16,England,Premier League,2022,1591.0,17.0,17,16,0,1,0,0,4.29,6.9,0.738,0.29,0.0,0.2,0.601,0.315,0.0,0.11,4.73,6.9,0.743,0.288,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
253,A. Aréola,G,West Ham,14,England,Premier League,2022,301.0,3.39,2,2,3,0,0,0,4.1,8.55,0.212,0.221,0.0,0.2,0.0,0.315,0.0,0.11,4.49,8.55,0.27,0.219,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
19341,D. Bentley,G,Wolves,13,England,Premier League,2022,195.0,2.0,2,2,0,0,0,0,4.01,7.57,0.191,0.294,0.0,0.2,0.0,0.315,0.0,0.11,4.36,7.57,0.221,0.292,0.0,0.054,False,,,380,380,0,False,0.0003950883927992928,0.0003950883927992928
