player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,pooled_members,total_regular_games,valid_regular_games,missing_games_count,no_observations,is_pooled_estimate
25141,S. Burchert,G,SpVgg Greuther Furth,18,Germany,Bundesliga,2021,1265.0,14.0,14,14,0,0,0,0,21.1,13.3,0.432,0.143,0.396,0.266,0.466,0.31,0.0,0.0907,21.6,13.3,0.477,0.142,0.00135,0.068,False,,,25141,306,306,0,False,False
25142,M. Funk,G,SpVgg Greuther Furth,18,Germany,Bundesliga,2021,712.0,8.0,8,8,0,0,0,0,20.4,13.3,-0.157,0.193,0.0,0.266,0.0,0.31,-0.0376,0.0907,20.9,13.3,-0.081,0.192,-0.0467,0.068,False,,,25142,306,306,0,False,False
39034,A. Linde,G,SpVgg Greuther Furth,18,Germany,Bundesliga,2021,1067.0,12.0,12,12,0,0,0,0,20.1,13.3,-0.382,0.182,0.0,0.266,-0.0315,0.31,0.0,0.0907,20.6,13.3,-0.38,0.18,0.0,0.068,False,,,39034,306,306,0,False,False
1800,K. Trapp,G,Eintracht Frankfurt,11,Germany,Bundesliga,2021,2872.0,32.0,32,32,0,0,0,0,18.4,6.38,0.693,0.236,0.473,0.266,0.533,0.31,0.0181,0.0907,18.5,6.38,0.683,0.234,0.0,0.068,False,,,1800,306,306,0,False,False
24894,D. Ramaj,G,Eintracht Frankfurt,11,Germany,Bundesliga,2021,90.0,1.0,1,1,0,0,0,0,17.9,6.43,0.152,0.337,0.0,0.266,0.0,0.31,0.0,0.0907,17.9,6.43,0.14,0.335,0.0,0.068,False,,,24894,306,306,0,False,False
26291,J. Grahl,G,Eintracht Frankfurt,11,Germany,Bundesliga,2021,92.0,1.0,1,1,0,0,0,0,17.3,6.39,-0.395,0.334,0.0,0.266,0.0,0.31,0.0,0.0907,17.3,6.39,-0.367,0.332,0.0,0.068,False,,,26291,306,306,0,False,False
15871,M. Schwäbe,G,1.FC Köln,7,Germany,Bundesliga,2021,1897.0,21.0,21,21,0,0,0,0,8.61,10.1,0.274,0.133,0.0681,0.266,0.172,0.31,0.0,0.0907,8.58,10.1,0.272,0.132,0.0,0.068,False,,,15871,306,306,0,False,False
24785,T. Horn,G,1.FC Köln,7,Germany,Bundesliga,2021,1166.0,13.0,13,13,0,0,0,0,8.14,10.1,-0.135,0.141,0.0,0.266,0.0,0.31,0.0183,0.0907,8.11,10.1,-0.136,0.139,0.0,0.068,False,,,24785,306,306,0,False,False
2,M. Hitz,G,Borussia Dortmund,2,Germany,Bundesliga,2021,415.0,4.477,4,4,1,0,0,0,7.79,5.14,0.0624,0.223,0.0,0.266,0.0,0.31,-0.246,0.0907,7.55,5.14,0.0511,0.221,-0.241,0.068,False,,,2,306,306,0,False,False
25282,G. Kobel,G,Borussia Dortmund,2,Germany,Bundesliga,2021,2573.0,28.523,29,28,0,1,0,0,7.63,5.16,0.278,0.232,0.0,0.266,0.0,0.31,0.0,0.0907,7.39,5.16,0.293,0.23,0.0,0.068,False,,,25282,306,306,0,False,False
