player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,total_regular_games,valid_regular_games,missing_games_count,no_observations,lasso_alpha_selected,partialled_lasso_alpha_selected
25597,F. Bredlow,G,VfB Stuttgart,2,Germany,Bundesliga,2023,364.0,4.0,4,4,0,0,0,0,19.4,5.22,0.467,0.184,0.0393,0.204,0.0796,0.226,0.0,0.0873,19.1,5.22,0.422,0.183,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
399,A. Nübel,G,VfB Stuttgart,2,Germany,Bundesliga,2023,2741.0,30.0,30,30,0,0,0,0,19.0,5.22,0.121,0.163,0.0,0.204,0.0,0.226,0.0,0.0873,18.7,5.22,0.091,0.162,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
26291,J. Grahl,G,Eintracht Frankfurt,6,Germany,Bundesliga,2023,178.0,2.0,2,2,0,0,0,1,7.08,2.93,0.821,0.261,0.289,0.204,0.434,0.226,0.00359,0.0873,7.18,2.93,0.813,0.259,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
1139,P. Gulácsi,G,RB Leipzig,4,Germany,Bundesliga,2023,1168.0,13.0,13,13,0,0,0,0,6.93,9.24,0.132,0.136,0.172,0.204,0.188,0.226,0.0,0.0873,6.59,9.24,0.0669,0.135,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
37246,J. Blaswich,G,RB Leipzig,4,Germany,Bundesliga,2023,1899.0,21.0,21,21,0,0,0,0,6.76,9.24,-0.117,0.127,0.0,0.204,0.0,0.226,-0.0307,0.0873,6.42,9.24,-0.134,0.127,-0.00769,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
1800,K. Trapp,G,Eintracht Frankfurt,6,Germany,Bundesliga,2023,2921.0,32.0,32,32,0,0,0,0,6.05,2.86,0.0176,0.232,-0.308,0.204,-0.188,0.226,0.0,0.0873,6.15,2.86,0.0162,0.23,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
963,L. Hrádecký,G,Bayer Leverkusen,1,Germany,Bundesliga,2023,2980.0,33.0,33,33,0,0,0,0,4.85,8.65,0.627,0.233,0.529,0.204,0.632,0.226,0.147,0.0873,4.22,8.65,0.593,0.232,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
25826,Unknown,Unknown,FC Heidenheim,8,Germany,Bundesliga,2023,11.0,0.117,0,0,1,0,0,1,3.11,2.52,1.01,0.495,0.0,0.204,0.0,0.226,0.0,0.0873,3.11,2.52,0.989,0.491,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
138804,M. Kovář,G,Bayer Leverkusen,1,Germany,Bundesliga,2023,84.0,1.0,1,1,0,0,0,0,2.98,8.11,-0.441,0.282,0.0,0.204,0.0,0.226,-0.0387,0.0873,2.35,8.11,-0.535,0.281,-0.0227,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
129142,Unknown,Unknown,Werder Bremen,9,Germany,Bundesliga,2023,9.0,0.094,0,0,1,0,0,0,2.34,1.44,0.0234,0.477,0.0,0.204,0.0,0.226,0.0,0.0873,2.34,1.44,0.0457,0.474,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
15884,J. Lindstrøm,F,Eintracht Frankfurt,6,Germany,Bundesliga,2023,84.0,0.875,1,0,0,1,0,0,2.18,1.35,0.671,0.417,0.0,0.204,0.0,0.226,0.0,0.0873,2.18,1.35,0.677,0.414,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
25630,Unknown,Unknown,Borussia Monchengladbach,14,Germany,Bundesliga,2023,46.0,0.48,0,0,4,0,0,0,2.15,0.896,0.902,0.429,0.0,0.204,0.114,0.226,0.0436,0.0873,2.15,0.896,0.918,0.427,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
2916,N. Stark,D,Werder Bremen,9,Germany,Bundesliga,2023,1103.0,11.977,12,10,5,2,2,0,1.97,0.584,0.452,0.207,0.191,0.204,0.233,0.226,0.081,0.0873,1.97,0.584,0.482,0.205,0.066,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
25314,M. Friedl,D,Werder Bremen,9,Germany,Bundesliga,2023,2248.0,24.358,25,23,0,2,1,0,1.93,0.636,0.334,0.215,0.121,0.204,0.141,0.226,0.0727,0.0873,1.93,0.636,0.359,0.213,0.0631,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
123476,Unknown,Unknown,SV Darmstadt 98,18,Germany,Bundesliga,2023,151.0,1.657,0,0,6,0,0,0,1.73,0.477,0.695,0.295,0.267,0.204,0.35,0.226,0.168,0.0873,1.73,0.477,0.729,0.293,0.139,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
2821,M. Veljković,D,Werder Bremen,9,Germany,Bundesliga,2023,1974.0,21.426,21,19,2,2,2,1,1.71,0.591,0.284,0.241,0.0,0.204,0.0165,0.226,0.0,0.0873,1.71,0.591,0.297,0.24,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
1798,F. Rønnow,G,Union Berlin,16,Germany,Bundesliga,2023,2983.0,33.0,33,33,0,0,0,0,1.7,2.51,0.258,0.289,0.0238,0.204,0.0825,0.226,0.0,0.0873,2.0,2.51,0.296,0.287,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
26292,A. Meyer,G,Borussia Dortmund,5,Germany,Bundesliga,2023,706.0,7.698,7,7,1,0,0,0,1.7,3.96,0.234,0.169,0.0,0.204,0.0,0.226,0.0,0.0873,1.51,3.96,0.176,0.168,0.0,0.0744,0,,,306,306,0,0,0.0007846962521997865,0.0007846962521997865
