player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,total_regular_games,valid_regular_games,missing_games_count,no_observations,lasso_alpha_selected,partialled_lasso_alpha_selected
37247,M. Brouwer,G,Heracles,14,Netherlands,Eredivisie,2023,3071.0,34.0,34,34,0,0,0,1,14.0,6.55,0.474,0.176,0.0,0.251,0.0,0.349,0.0,0.141,14.3,6.55,0.571,0.175,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
37453,S. Kersten,D,PEC Zwolle,12,Netherlands,Eredivisie,2023,3085.0,34.0,34,34,0,0,0,2,7.1,7.65,0.215,0.112,0.0,0.251,0.0,0.349,0.0,0.141,7.21,7.65,0.27,0.112,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
2741,M. Ryan,G,AZ Alkmaar,4,Netherlands,Eredivisie,2023,2589.0,29.0,29,29,0,0,0,0,4.2,6.21,0.324,0.215,0.196,0.251,0.242,0.349,0.105,0.141,3.91,6.21,0.298,0.214,0.0198,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
37602,H. Verhulst,G,AZ Alkmaar,4,Netherlands,Eredivisie,2023,86.0,1.0,1,1,0,0,0,0,4.08,6.22,0.244,0.32,0.0,0.251,0.0,0.349,-0.0357,0.141,3.79,6.22,0.182,0.319,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
36913,M. Hauptmeijer,G,PEC Zwolle,12,Netherlands,Eredivisie,2023,188.0,2.0,2,2,0,0,0,0,3.92,3.8,0.472,0.183,0.304,0.251,0.62,0.349,0.154,0.141,3.98,3.8,0.516,0.183,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
340711,R. Owusu-Oduro,G,AZ Alkmaar,4,Netherlands,Eredivisie,2023,358.0,4.0,4,4,0,0,0,0,3.29,6.22,-0.489,0.283,-0.19,0.251,-0.34,0.349,0.0,0.141,3.0,6.22,-0.48,0.282,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
36881,J. Schendelaar,G,PEC Zwolle,12,Netherlands,Eredivisie,2023,2897.0,32.0,32,32,0,0,0,0,3.18,3.87,-0.257,0.159,0.0,0.251,0.0,0.349,0.0,0.141,3.24,3.87,-0.247,0.159,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
584,V. Barkas,G,Utrecht,7,Netherlands,Eredivisie,2023,2614.0,29.0,29,29,0,0,0,0,2.5,4.19,0.24,0.188,0.00114,0.251,0.0969,0.349,0.0,0.141,2.43,4.19,0.236,0.188,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
36937,V. van Crooij,M,Sparta Rotterdam,8,Netherlands,Eredivisie,2023,274.0,2.892,3,2,0,1,0,1,2.17,0.847,1.61,0.35,1.3,0.251,1.56,0.349,0.62,0.141,2.17,0.847,1.59,0.349,0.162,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
37359,M. Branderhorst,G,Utrecht,7,Netherlands,Eredivisie,2023,438.0,5.0,5,5,0,0,0,0,2.05,4.19,-0.071,0.206,0.0,0.251,-0.0622,0.349,0.0,0.141,1.98,4.19,-0.0767,0.205,0.0,0.077,0,,,306,306,0,0,0.0004418805776862505,0.0004418805776862505
