player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,pooled_members,total_regular_games,valid_regular_games,missing_games_count,no_observations,is_pooled_estimate
127,M. ter Stegen,G,Barcelona,1,Spain,La Liga,2022,3318.0,37.204,38,36,0,2,0,0,9.17,3.89,0.322,0.195,0.0,0.164,0.0,0.201,0.0,0.0633,8.59,3.89,0.295,0.194,0.0,0.0444,False,,,127,380,380,0,False,False
126,Unknown,Unknown,Barcelona,1,Spain,La Liga,2022,71.0,0.796,0,0,2,0,0,0,9.08,3.9,0.284,0.224,0.0,0.164,0.0,0.201,0.0,0.0633,8.5,3.9,0.22,0.223,0.0,0.0444,False,,,126,380,380,0,False,False
47247,David Soria,G,Getafe,15,Spain,La Liga,2022,3506.0,38.0,38,38,0,0,0,0,7.94,4.22,0.411,0.162,0.0,0.164,0.0,0.201,0.0,0.0633,7.79,4.22,0.417,0.161,0.0,0.0444,False,,,47247,380,380,0,False,False
47400,A. Lunin,G,Real Madrid,2,Spain,La Liga,2022,626.0,7.0,7,7,0,0,0,0,6.89,7.5,0.299,0.103,0.0527,0.164,0.148,0.201,0.0,0.0633,6.33,7.5,0.269,0.103,0.0,0.0444,False,,,47400,380,380,0,False,False
730,T. Courtois,G,Real Madrid,2,Spain,La Liga,2022,2811.0,31.0,31,31,0,0,0,0,6.56,7.51,0.0383,0.0951,0.0,0.164,0.0,0.201,0.0,0.0633,6.01,7.51,-0.0187,0.0946,0.0,0.0444,False,,,730,380,380,0,False,False
183848,Julen Agirrezabala,G,Athletic Club,8,Spain,La Liga,2022,690.0,7.516,7,7,1,0,0,0,4.79,5.06,0.207,0.107,0.21,0.164,0.269,0.201,0.0,0.0633,4.48,5.06,0.223,0.107,0.0,0.0444,False,,,183848,380,380,0,False,False
47270,Unai Simón,G,Athletic Club,8,Spain,La Liga,2022,2750.0,30.484,31,30,0,1,0,0,4.47,5.04,-0.0829,0.102,0.0,0.164,0.0,0.201,0.0,0.0633,4.17,5.04,-0.105,0.102,0.0,0.0444,False,,,47270,380,380,0,False,False
24760,G. Mamardashvili,G,Valencia,14,Spain,La Liga,2022,3487.0,38.0,38,38,0,0,0,0,3.37,5.05,0.123,0.124,0.0,0.164,0.0,0.201,0.0,0.0633,3.17,5.05,0.121,0.124,0.0,0.0444,False,,,24760,380,380,0,False,False
179139,Leo Román,G,Mallorca,9,Spain,La Liga,2022,93.0,1.0,1,1,0,0,0,0,2.72,4.24,0.775,0.243,0.303,0.164,0.502,0.201,0.109,0.0633,2.57,4.24,0.764,0.242,0.0,0.0444,False,,,179139,380,380,0,False,False
47427,Iván Villar,G,Celta Vigo,13,Spain,La Liga,2022,1728.0,19.0,19,19,0,0,0,0,2.52,3.97,0.157,0.132,0.102,0.164,0.11,0.201,0.0988,0.0633,2.36,3.97,0.17,0.132,0.0637,0.0444,False,,,47427,380,380,0,False,False
