player_id,player_name,position,team(s),league_position,country,league,season,minutes_played,FTE_games_played,games_started,full_games_played,games_subbed_on,games_subbed_off,goals,assists,contribution_ols,contribution_ols_std,ridge_contribution_alpha_10_0,ridge_contribution_alpha_10_0_std,lasso_contribution_alpha_0_001,lasso_contribution_alpha_0_001_std,lasso_contribution_alpha_best,lasso_contribution_alpha_best_std,partialled_lasso_contribution_alpha_best,partialled_lasso_contribution_alpha_best_std,partialled_contribution_ols,partialled_contribution_ols_std,partialled_ridge_contribution_alpha_10_0,partialled_ridge_contribution_alpha_10_0_std,partialled_lasso_contribution_alpha_0_001,partialled_lasso_contribution_alpha_0_001_std,is_pooled_member,pooled_group_key,other_players_same_minutes,total_regular_games,valid_regular_games,missing_games_count,no_observations,lasso_alpha_selected,partialled_lasso_alpha_selected
1450,Sokratis,D,Real Betis,7,Spain,La Liga,2023,1144.0,12.552,12,11,3,1,0,0,3.66,0.953,0.499,0.214,0.0651,0.173,0.4,0.316,0.0412,0.152,3.66,0.953,0.468,0.214,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
1847,Luiz Felipe,D,Real Betis,7,Spain,La Liga,2023,360.0,4.0,4,4,0,0,0,0,3.64,0.98,0.412,0.3,0.0,0.173,0.25,0.316,0.0,0.152,3.64,0.98,0.4,0.299,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
2469,Germán Pezzella,D,Real Betis,7,Spain,La Liga,2023,2817.0,30.844,32,28,0,4,1,0,3.26,0.962,0.312,0.217,0.126,0.173,0.344,0.316,0.206,0.152,3.26,0.962,0.325,0.216,0.068,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
188413,Ricardo Visus,D,Real Betis,7,Spain,La Liga,2023,165.0,1.842,1,1,2,0,0,0,3.16,1.02,0.16,0.305,0.0386,0.173,0.185,0.316,0.193,0.152,3.16,1.02,0.22,0.304,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
278898,Chadi Riad,D,Real Betis,7,Spain,La Liga,2023,2170.0,24.044,24,22,2,2,0,0,2.94,0.918,-0.0731,0.19,-0.138,0.173,0.0,0.316,-0.0739,0.152,2.94,0.918,-0.0539,0.189,-0.00664,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
1561,Marc Bartra,D,Real Betis,7,Spain,La Liga,2023,228.0,2.511,3,2,0,1,0,0,2.76,0.945,-0.327,0.267,-0.342,0.173,-0.343,0.316,-0.196,0.152,2.76,0.945,-0.316,0.266,-0.0884,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
343205,Unknown,Unknown,Real Madrid,1,Spain,La Liga,2023,4.0,0.047,0,0,2,0,0,0,2.65,1.57,0.685,0.384,0.0,0.173,0.0567,0.316,0.0,0.152,2.65,1.57,0.656,0.383,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
2923,Yannick Carrasco,D,Atletico Madrid,4,Spain,La Liga,2023,231.0,2.547,3,1,0,2,0,1,2.3,0.463,1.27,0.304,0.578,0.173,1.23,0.316,0.205,0.152,2.3,0.463,1.24,0.304,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47041,Unknown,Unknown,Granada CF,19,Spain,La Liga,2023,7.0,0.072,0,0,2,0,0,0,1.82,1.53,0.47,0.384,0.0,0.173,0.0,0.316,0.0,0.152,1.82,1.53,0.471,0.383,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
353463,Unknown,Unknown,Cadiz,18,Spain,La Liga,2023,3.0,0.032,0,0,1,0,0,0,1.73,1.75,0.101,0.354,0.0,0.173,0.0,0.316,0.0,0.152,1.73,1.75,0.105,0.353,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
311740,Unknown,Unknown,Alaves,9,Spain,La Liga,2023,7.0,0.076,0,0,1,0,0,0,1.71,1.21,0.424,0.419,0.0,0.173,0.0,0.316,0.0,0.152,1.71,1.21,0.443,0.418,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
133185,Johnny,M,Real Betis,7,Spain,La Liga,2023,1335.0,14.807,15,9,2,6,1,2,1.6,0.435,0.543,0.228,0.173,0.173,0.395,0.316,0.323,0.152,1.6,0.435,0.533,0.227,0.143,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
125331,Unknown,Unknown,Sevilla,15,Spain,La Liga,2023,15.0,0.155,0,0,2,0,0,0,1.58,2.08,0.0148,0.43,0.0,0.173,0.0,0.316,0.0,0.152,1.58,2.08,0.0463,0.429,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47422,Youssef En-Nesyri,F,Sevilla,15,Spain,La Liga,2023,2650.0,28.314,28,17,5,11,16,2,1.58,0.977,0.802,0.176,0.424,0.173,0.746,0.316,0.196,0.152,1.58,0.977,0.823,0.175,0.0896,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
378284,Unknown,Unknown,Cadiz,18,Spain,La Liga,2023,20.0,0.222,0,0,1,0,0,0,1.55,0.814,0.423,0.426,0.0,0.173,0.0329,0.316,0.112,0.152,1.55,0.814,0.424,0.424,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
3033,Cédric Bakambu,F,Real Betis,7,Spain,La Liga,2023,194.0,2.139,2,0,2,2,0,0,1.51,0.427,0.649,0.276,0.051,0.173,0.358,0.316,0.0,0.152,1.51,0.427,0.637,0.275,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
440413,Unknown,Unknown,Athletic Club,5,Spain,La Liga,2023,8.0,0.089,0,0,1,0,0,0,1.43,1.2,0.305,0.417,0.0,0.173,0.0,0.316,0.0,0.152,1.43,1.2,0.292,0.416,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
46772,Unknown,Unknown,Cadiz,18,Spain,La Liga,2023,18.0,0.195,0,0,3,0,0,0,1.43,0.978,0.293,0.414,0.0,0.173,0.0,0.316,0.0,0.152,1.43,0.978,0.334,0.412,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
182641,Imanol García de Albéniz,D,Athletic Club,5,Spain,La Liga,2023,518.0,5.65,5,3,4,2,0,0,1.41,0.554,0.6,0.229,0.199,0.173,0.365,0.316,-0.0661,0.152,1.41,0.554,0.516,0.229,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
20608,Rominigue Kouamé,M,Cadiz,18,Spain,La Liga,2023,853.0,9.333,9,3,7,6,0,0,1.4,0.397,0.491,0.194,0.19,0.173,0.373,0.316,0.0916,0.152,1.4,0.397,0.533,0.193,0.045,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
176,Erik Lamela,F,Sevilla,15,Spain,La Liga,2023,480.0,5.102,5,2,8,3,2,0,1.39,0.988,0.737,0.21,0.666,0.173,0.702,0.316,0.246,0.152,1.39,0.988,0.741,0.209,0.104,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
333672,Unknown,Unknown,Valencia,10,Spain,La Liga,2023,3.0,0.035,0,0,1,0,0,0,1.36,1.67,0.367,0.362,0.0,0.173,0.0,0.316,0.0,0.152,1.36,1.67,0.374,0.361,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
286084,Sergi Altimira,M,Real Betis,7,Spain,La Liga,2023,573.0,6.271,6,2,8,4,1,0,1.34,0.436,0.304,0.22,0.0797,0.173,0.128,0.316,0.0,0.152,1.34,0.436,0.29,0.219,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
2476,Guido Rodríguez,M,Real Betis,7,Spain,La Liga,2023,1852.0,20.446,22,15,2,7,2,0,1.34,0.447,0.261,0.192,0.106,0.173,0.0996,0.316,0.0728,0.152,1.34,0.447,0.259,0.192,0.0289,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
521,Robert Lewandowski,F,Barcelona,2,Spain,La Liga,2023,2802.0,30.513,32,20,3,12,19,8,1.34,0.386,0.775,0.203,0.281,0.173,0.565,0.316,0.218,0.152,1.34,0.386,0.752,0.203,0.0414,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
1580,William Carvalho,M,Real Betis,7,Spain,La Liga,2023,666.0,7.302,4,0,18,4,1,3,1.32,0.424,0.202,0.18,0.0,0.173,0.048,0.316,0.0444,0.152,1.32,0.424,0.194,0.179,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
668,Nabil Fekir,M,Real Betis,7,Spain,La Liga,2023,1059.0,11.653,10,4,9,6,1,2,1.32,0.372,0.409,0.18,0.163,0.173,0.284,0.316,0.14,0.152,1.32,0.372,0.414,0.179,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47388,Gonzalo Escalante,M,Cadiz,18,Spain,La Liga,2023,1729.0,18.686,18,8,7,10,1,2,1.32,0.385,0.376,0.181,0.0,0.173,0.218,0.316,-0.0139,0.152,1.32,0.385,0.405,0.18,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47269,Álex Remiro,G,Real Sociedad,6,Spain,La Liga,2023,3337.0,36.356,37,37,0,0,0,0,1.31,1.47,0.7,0.257,0.0591,0.173,0.556,0.316,0.0271,0.152,1.29,1.46,0.663,0.256,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
2001,Cyle Larin,F,Mallorca,12,Spain,La Liga,2023,1836.0,20.373,20,3,15,17,3,2,1.31,0.362,0.624,0.151,0.109,0.173,0.501,0.316,0.194,0.152,1.31,0.362,0.631,0.151,0.0469,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
753,Marcos Llorente,M,Atletico Madrid,4,Spain,La Liga,2023,2607.0,28.533,29,17,8,12,6,4,1.28,0.292,0.551,0.144,0.158,0.173,0.408,0.316,0.0,0.152,1.28,0.292,0.526,0.144,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
20660,Aleksandar Radovanović,D,Almeria,20,Spain,La Liga,2023,578.0,6.292,8,4,1,4,0,0,1.28,0.425,1.09,0.229,0.503,0.173,0.947,0.316,0.301,0.152,1.28,0.425,1.11,0.228,0.0714,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
745,Isco,M,Real Betis,7,Spain,La Liga,2023,2377.0,25.984,28,14,1,14,8,5,1.25,0.368,0.381,0.181,0.159,0.173,0.265,0.316,0.0844,0.152,1.25,0.368,0.366,0.181,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
46751,Abdón Prats,F,Mallorca,12,Spain,La Liga,2023,1266.0,13.79,11,3,23,8,6,1,1.25,0.355,0.622,0.151,0.219,0.173,0.522,0.316,0.215,0.152,1.25,0.355,0.599,0.151,0.0692,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
1573,Andrés Guardado,M,Real Betis,7,Spain,La Liga,2023,467.0,5.094,4,1,8,3,0,0,1.23,0.46,0.146,0.219,0.0,0.173,0.0,0.316,0.0,0.152,1.24,0.46,0.141,0.218,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
195717,Yerson Mosquera,D,Villarreal,8,Spain,La Liga,2023,1250.0,13.787,14,13,2,1,2,1,1.22,0.394,0.614,0.217,0.199,0.173,0.478,0.316,0.212,0.152,1.22,0.394,0.621,0.216,0.0608,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
133110,Tanguy Nianzou,D,Sevilla,15,Spain,La Liga,2023,340.0,3.624,3,2,5,1,0,0,1.22,0.996,0.447,0.234,0.0835,0.173,0.364,0.316,0.0,0.152,1.21,0.996,0.458,0.233,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47329,Adrià Pedrosa,M,Sevilla,15,Spain,La Liga,2023,1794.0,19.52,15,9,16,6,1,4,1.22,0.984,0.523,0.183,0.181,0.173,0.382,0.316,0.0546,0.152,1.21,0.984,0.502,0.183,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
126936,Samuel Lino,M,Atletico Madrid,4,Spain,La Liga,2023,2114.0,23.182,25,6,9,19,4,5,1.21,0.304,0.488,0.147,0.278,0.173,0.405,0.316,0.147,0.152,1.21,0.304,0.45,0.147,0.0826,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
1920,Nemanja Radonjić,M,Mallorca,12,Spain,La Liga,2023,345.0,3.794,4,0,7,4,0,0,1.21,0.385,0.54,0.204,0.0988,0.173,0.447,0.316,0.199,0.152,1.21,0.385,0.608,0.204,0.0843,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
50,Koke,M,Atletico Madrid,4,Spain,La Liga,2023,2541.0,27.761,32,18,3,14,0,4,1.21,0.28,0.573,0.146,0.289,0.173,0.449,0.316,0.0762,0.152,1.2,0.28,0.551,0.145,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
19485,Ben Brereton Díaz,M,Villarreal,8,Spain,La Liga,2023,258.0,2.864,2,0,12,2,0,0,1.19,0.381,0.543,0.232,0.0883,0.173,0.48,0.316,0.112,0.152,1.19,0.381,0.557,0.231,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
166,Juan Foyth,D,Villarreal,8,Spain,La Liga,2023,1080.0,11.88,12,11,0,1,1,1,1.18,0.395,0.527,0.223,0.0,0.173,0.258,0.316,0.0,0.152,1.18,0.395,0.482,0.223,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47485,Rubén Alcaraz,M,Cadiz,18,Spain,La Liga,2023,3149.0,34.611,36,29,0,7,3,1,1.17,0.431,0.334,0.241,0.0,0.173,0.167,0.316,0.034,0.152,1.17,0.431,0.347,0.241,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
47013,Rafa Mir,F,Sevilla,15,Spain,La Liga,2023,405.0,4.517,3,1,12,2,2,0,1.17,0.984,0.453,0.205,0.099,0.173,0.306,0.316,0.0687,0.152,1.17,0.984,0.449,0.204,0.00498,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
46691,Fede San Emeterio,M,Cadiz,18,Spain,La Liga,2023,165.0,1.793,3,0,1,3,1,0,1.16,0.47,0.399,0.302,0.0,0.173,0.167,0.316,0.0,0.152,1.16,0.47,0.438,0.301,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
671,Bertrand Traoré,M,Villarreal,8,Spain,La Liga,2023,571.0,6.296,6,1,5,5,1,0,1.14,0.361,0.671,0.219,0.647,0.173,0.68,0.316,0.275,0.152,1.14,0.361,0.684,0.218,0.238,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
392270,Marc Guiu,F,Barcelona,2,Spain,La Liga,2023,72.0,0.825,1,0,2,1,1,0,1.11,0.617,0.49,0.366,0.0,0.173,0.276,0.316,0.101,0.152,1.11,0.617,0.471,0.365,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
18906,Ayoze Pérez,M,Real Betis,7,Spain,La Liga,2023,2313.0,25.497,29,12,2,17,9,1,1.11,0.323,0.31,0.162,0.0329,0.173,0.145,0.316,0.0557,0.152,1.11,0.323,0.304,0.162,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
340154,Arthur Vermeeren,F,Atletico Madrid,4,Spain,La Liga,2023,160.0,1.732,2,0,3,2,0,0,1.11,0.388,0.42,0.271,0.0,0.173,0.232,0.316,0.0362,0.152,1.1,0.388,0.404,0.271,0.0,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
885,Eric Bailly,D,Villarreal,8,Spain,La Liga,2023,864.0,9.321,9,8,1,1,0,0,1.1,0.413,0.533,0.205,0.276,0.173,0.428,0.316,0.0583,0.152,1.11,0.413,0.519,0.204,0.0228,0.0474,False,,,380,380,0,False,0.0002573684996610928,0.0002573684996610928
